DATE 07/04/2025
TIME 17:04:30
============================================================================================
TM.001   99953[mm]
TM.002   22323[mm]
TM.003   22222[mm]
TM.004   88764[mm]
TS.001   00000[mm]
TP.001   00000[mm]
TP.002   00008[mm]
TP.003   00000[mm]
TP.004   00494[mm]
TT.001   00000[mm]
TD.001   00000[mm]
TA.001   00000[mm]
PO.001   00000[mm]
============================================================================================
PS.001   00000[mm]
PS.002   00000[mm]
PS.003   12345[mm]
PS.004   00000[mm]
PS.005   00000[mm]
PS.006   00000[mm]
PS.007   00000[mm]
PS.008   00000[mm]
PS.009   00000[mm]
PS.010   00000[mm]
PS.011   00000[mm]
PS.012   00000[mm]
PS.013   00000[mm]
PS.014   00000[mm]
PS.015   00000[mm]
PS.016   00000[mm]
PS.017   00000[mm]
PS.018   00000[mm]
PS.019   00000[mm]
PS.020   00000[mm]
PS.021   00000[mm]
PS.022   00000[mm]
PS.023   00000[mm]
PS.024   00000[mm]
PS.025   00000[mm]
PS.026   00000[mm]
============================================================================================
PD.001   00008[mm]
PD.002   00000[mm]
PD.003   00000[mm]
PD.004   00000[mm]
PD.005   00000[mm]
PD.006   00000[mm]
PD.007   00000[mm]
PD.008   00000[mm]
PD.009   00000[mm]
PD.010   00000[mm]
PD.011   00045[mm]
PD.012   51111[mm]
PD.013   00000[mm]
PD.014   00000[mm]
PD.015   00000[mm]
PD.016   00000[mm]
PD.017   00000[mm]
PD.018   00000[mm]
PD.019   00000[mm]
PD.020   00000[mm]
PD.021   00000[mm]
PD.022   00000[mm]
PD.023   00000[mm]
PD.024   00000[mm]
PD.025   00000[mm]
PD.026   00000[mm]
